template_name,template_string
super_glue - wsc.fixed - GPT-3 Style,"Passage: {e1} 

Question: In the passage above, does the pronoun ""{e2}"" refer to {e3}?

Answer: ||| {e4}{e5}{e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-ar,"مرور: {e1}

سؤال: في المقطع أعلاه، هل نشير الضمير ""{e2}"" إلى {e3}؟

الجواب: ||| {e4} {e5} {e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-bg,"Проход: {e1}

Въпрос: В пасажа по-горе, това ли е местоимението ""{e2}"" се отнася до {e3}?

Отговор: ||| {e4} {e5} {e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-de,"Passage: {e1}

Frage: In der obigen Passage bezieht sich das Pronomen ""{e2}"" in {e3}?

Antwort: |||. {e4} {e5} {e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-el,"Πέρασμα: {e1}

Ερώτηση: Στο παραπάνω από το πέρασμα, η αντωνυμία ""{e2}"" αναφέρεται στο {e3};

Απάντηση: ||| {e4} {e5} {e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-es,"Pasaje: {e1}

Pregunta: En el pasaje anterior, ¿el pronombre ""{e2}"" se refiere a {e3}?

Respuesta: ||| {e4} {e5} {e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-fr,"Passage: {e1}

Question: Dans le passage ci-dessus, le pronom ""{e2}"" se réfère-t-il à {e3}?

Réponse: ||| {e4} {e5} {e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-hi,"मार्ग: {e1}

प्रश्न: उपरोक्त पारित होने में, सर्वनाम ""{e2}"" {e3} का संदर्भ देता है?

उत्तर: ||| {e4} {e5} {e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-ru,"Проход: {e1}

Вопрос: В приведенном выше прохождении местоимение «{e2}» обращается к {e3}?

Ответ: ||| {e4} {e5} {e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-sw,"Passage: {e1}

Swali: Katika kifungu hapo juu, je, mtamshi ""{e2}"" rejea {e3}?

Jibu: || {e4} {e5} {e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-th,"เนื้อเรื่อง: {e1}

คำถาม: ในเนื้อเรื่องด้านบนคำสรรพนาม ""{e2}"" อ้างถึง {e3} หรือไม่

คำตอบ: ||| {e4} {e5} {e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-tr,"Geçiş: {e1}

Soru: Yukarıdaki geçitte, ""{e2}"" zamirinin {e3}?

Cevap: ||| {e4} {e5} {e6}"
super_glue - wsc.fixed - GPT-3 Style-translate-ur,"پاسپورٹ: {e1}

سوال: اوپر گزرنے میں، pronoun ""{e2}"" {e3} کا حوالہ دیتے ہیں؟

جواب: ||| {e4} {e5} {e6}"
