template_name,template_string
super_glue - wsc.fixed - GPT-3 Style,"Passage: {e1} 

Question: In the passage above, does the pronoun ""{e2}"" refer to {e3}?

Answer: ||| {e4}{e5}{e6}"
super_glue - wsc.fixed - I think they mean,"{e1} I think they mean ""{e2}"" Yes or no? ||| {e3}{e4}{e5}"
super_glue - wsc.fixed - Who or what is/are,"{e1} 
{e2}
Question: Who or what are ""{e3}""? {e4}?
{e5}
Question: Who or what is ""{e6}""? Is it {e7}?
{e8}
Answer: ||| {e9}{e10}{e11}"
super_glue - wsc.fixed - by p they mean,"{e1} Here, by ""{e2}"" they mean ""{e3}"". Yes or no? ||| {e4}{e5}{e6}"
super_glue - wsc.fixed - does p stand for,"{e1} Here, does ""{e2}"" stand for {e3}? Yes or no? ||| {e4}{e5}{e6}"
super_glue - wsc.fixed - does the pronoun refer to,"{e1} In the previous sentence, does the pronoun ""{e2}"" refer to {e3}? Yes or no? ||| {e4}{e5}{e6}"
super_glue - wsc.fixed - in other words,"{e1} 

In other words, {e2} True or false? ||| {e3}{e4}{e5}"
super_glue - wsc.fixed - p is/are r,"Context: {e1} 

{e2}
Question: ""{e3}"" are {e4}. True or false?
{e5}
Question: ""{e6}"" is {e7}. True or false?
{e8}

Answer: ||| {e9}{e10}{e11}"
super_glue - wsc.fixed - replaced with,"{e1} In the previous sentence, can the pronoun ""{e2}"" be replaced with ""{e3}""? Yes or no? ||| {e4}{e5}{e6}"
super_glue - wsc.fixed - the pronoun refers to,"{e1} 
In the passage above, the pronoun ""{e2}"" refers to {e3}. True or false? ||| {e4}{e5}{e6}"
glue - mrpc - equivalent,"Are the following two sentences ""{e1}"" or ""{e2}""?
{e3}
{e4}
|||
{e5}"
glue - mrpc - generate_paraphrase,"{e1}
Paraphrase the following sentence: {e2}
|||
{e3}
{e4}"
glue - mrpc - generate_sentence,"{e1}
Generate a sentence that means the same thing as this one: {e2}
|||
{e3}
{e4}"
glue - mrpc - paraphrase,"Does the sentence
{e1}
paraphrase (that is, mean the same thing as) this sentence?
{e2}
|||
{e3}"
glue - mrpc - replace,"Can I replace the sentence
{e1}
with the sentence
{e2}
and have it mean the same thing?
|||
{e3}"
glue - mrpc - same thing,"Do the following two sentences mean the same thing?
{e1}
{e2}
|||
{e3}"
glue - mrpc - want to know,"I want to know whether the following two sentences mean the same thing.
{e1}
{e2}
Do they?
|||
{e3}"
glue - qqp - answer,"Can an answer to ""{e1}"" also be used to answer ""{e2}""? ||| {e3}"
glue - qqp - duplicate,"I received the questions ""{e1}"" and ""{e2}"". Are they duplicates? ||| {e3}"
